ParentGlobalID,SiteCode,TotalAbundance,Richness,mayfly_abundance,perennial_PNW_abundance,perennial_PNW_taxa,perennial_PNW_live_abundance,perennial_NC_abundance,perennial_NC_taxa,perennial_NC_live_abundance,perennial_West_abundance,perennial_GP_abundance,perennial_East_abundance,perennial_AW_abundance,perennial_WM_abundance,perennial_NGP_abundance,perennial_SGP_abundance,perennial_NE_abundance,perennial_SE_abundance,perintper_West_abundance,perintper_East_abundance,perintper_AW_abundance,perintper_WM_abundance,perintper_SGP_abundance,perintper_SE_abundance,ephemeral_GP_abundance,ephemeral_East_abundance,ephemeral_NGP_abundance,ephemeral_SGP_abundance,ephemeral_NE_abundance,ephemeral_SE_abundance,ephinteph_GP_abundance,ephinteph_East_abundance,ephinteph_NGP_abundance,ephinteph_SGP_abundance,ephinteph_NE_abundance,ephinteph_SE_abundance,perennial_West_taxa,perennial_GP_taxa,perennial_East_taxa,perennial_AW_taxa,perennial_WM_taxa,perennial_NGP_taxa,perennial_SGP_taxa,perennial_NE_taxa,perennial_SE_taxa,perintper_West_taxa,perintper_East_taxa,perintper_AW_taxa,perintper_WM_taxa,perintper_SGP_taxa,perintper_SE_taxa,ephemeral_GP_taxa,ephemeral_East_taxa,ephemeral_NGP_taxa,ephemeral_SGP_taxa,ephemeral_NE_taxa,ephemeral_SE_taxa,ephinteph_GP_taxa,ephinteph_East_taxa,ephinteph_NGP_taxa,ephinteph_SGP_taxa,ephinteph_NE_taxa,ephinteph_SE_taxa,EPT_abundance,EPT_taxa,EPT_relabd,EPT_reltaxa,Ephemeroptera_abundance,Plecoptera_abundance,Trichoptera_abundance,Hemiptera_abundance,Coleoptera_abundance,Decapoda_abundance,Odonata_abundance,Basommatophora_abundance,OtherMacro_abundance,GOLD_abundance,GOLD_taxa,OCH_abundance,OCH_taxa,Noninsect_abundance,Noninsect_taxa,Noninsect_relabund,Noninsect_reltaxa,GOLD_relabd,GOLD_reltaxa,OCH_relabd,OCH_reltaxa,GOLDOCH_relabd,GOLDOCH_reltaxa,Crayfish_abundance,Crayfish_taxa,Mollusk_abundance,Mollusk_taxa,Bivalves_NonFG_Abundance,Clam_Fingernail_Abundance,TolRelAbund,TolRelAbundAlt,NonTolTaxa,NonTolTaxaAlt,TolTaxa,TolTaxaAlt,Region,Region_detail,perennial_ISA_abundance,perintper_ISA_abundance,ephemeral_ISA_abundance,ephinteph_ISA_abundance,perennial_ISA_taxa,perintper_ISA_taxa,ephemeral_ISA_taxa,ephinteph_ISA_taxa,perennial_ISAsubregion_abundance,perintper_ISAsubregion_abundance,ephemeral_ISAsubregion_abundance,ephinteph_ISAsubregion_abundance,perennial_ISAsubregion_taxa,perintper_ISAsubregion_taxa,ephemeral_ISAsubregion_taxa,ephinteph_ISAsubregion_taxa
0012c572-66f6-4a69-880b-2e79fbe3bcfd,SDNB37,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3,0,0,2,1,0.13333333333333333,0.3333333333333333,1,1,0,0,1,1,0,0,0,0,0,0,0.13333333333333333,0.13333333333333333,2,2,1,1,GP,GP_N,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0
0038adfe-e745-4246-bccc-7321e1908296,TXCB55,26,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0.038461538461538464,0.2,1,0,0,0,0,0,0,0,25,12,2,0,0,15,3,0.5769230769230769,0.6,0.46153846153846156,0.4,0,0,0.46153846153846156,0.4,0,0,0,0,0,0,0.9615384615384616,0.9615384615384616,1,1,4,4,GP,GP_C,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,0
0052d4cc-b0ed-401e-b602-db445f1a0523,SCSE8359_B,23,12,1,9,4,9,14,7,14,7,0,9,10,7,6,0,7,7,11,10,10,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,2,1,0,2,2,4,5,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0.6521739130434783,0.5,1,3,11,0,0,1,2,0,5,4,2,2,2,1,1,0.043478260869565216,0.08333333333333333,0.17391304347826086,0.16666666666666666,0.08695652173913043,0.16666666666666666,0.2608695652173913,0.3333333333333333,1,1,0,0,0,0,0.13043478260869565,0.13043478260869565,11,11,1,1,East,SE,9,10,NA,0,4,5,NA,0,7,7,NA,0,2,2,NA,0
007f76af-c718-4724-80c5-bc17f5e6ec47,COCB121,59,11,16,4,2,4,10,3,10,13,20,4,3,13,3,0,3,4,49,14,9,49,2,10,0,0,0,0,1,0,0,10,0,0,1,10,2,2,2,1,2,1,0,1,2,6,3,2,6,1,3,0,0,0,0,1,0,0,1,0,0,1,1,19,3,0.3220338983050847,0.2727272727272727,16,0,3,0,0,1,3,0,36,16,3,3,2,22,4,0.3728813559322034,0.36363636363636365,0.2711864406779661,0.2727272727272727,0.05084745762711865,0.18181818181818182,0.3220338983050847,0.45454545454545453,1,1,0,0,0,0,0.4745762711864407,0.4406779661016949,6,7,5,4,GP,GP_C,20,NA,0,0,2,NA,0,0,3,NA,NA,0,1,NA,NA,0
00913f22-8437-4a64-85d3-dee3fd01e401,NYNE9032_B,46,8,0,6,2,6,6,2,6,2,0,6,2,2,0,0,0,4,11,9,2,11,0,4,0,0,0,0,6,0,19,13,19,6,19,13,1,0,2,1,1,0,0,0,1,3,3,1,3,0,1,0,0,0,0,1,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,15,0,4,6,21,26,4,19,3,13,3,0.2826086956521739,0.375,0.5652173913043478,0.5,0.41304347826086957,0.375,0.9782608695652174,0.875,0,0,6,1,0,0,0.5217391304347826,0.5217391304347826,4,4,4,4,East,NE,6,9,NA,13,2,3,NA,1,0,NA,NA,19,0,NA,NA,2
00f081df-240d-4657-8b84-496b17990cc2,FLSE9184_B,9,6,2,4,2,4,8,5,8,4,1,5,6,4,4,1,3,5,8,5,7,8,1,6,1,0,0,0,0,0,1,0,0,0,0,0,2,1,3,3,2,2,1,1,3,5,3,4,5,1,4,1,0,0,0,0,0,1,0,0,0,0,0,7,4,0.7777777777777778,0.6666666666666666,2,0,5,0,0,0,1,1,0,1,1,1,1,1,1,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.3333333333333333,0,0,1,1,0,0,0,0.1111111111111111,6,5,0,1,East,SE,5,5,NA,0,3,3,NA,0,5,6,NA,0,3,4,NA,0
00f3717a-2bab-4bdf-8f1a-f88dafcf9e27,ALSE8667_B,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,0.2608695652173913,0.4,0,6,0,0,0,6,0,0,11,1,1,0,0,16,2,0.6956521739130435,0.4,0.043478260869565216,0.2,0,0,0.043478260869565216,0.2,6,1,0,0,0,0,0.4782608695652174,0.4782608695652174,3,3,2,2,East,SE,0,6,NA,10,0,2,NA,1,0,0,NA,10,0,0,NA,1
010e4503-d0e3-40f5-960a-3720adaf1ab8,NYNE9029_B,23,6,10,0,0,0,13,2,13,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,8,2,8,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,11,2,0.4782608695652174,0.3333333333333333,10,0,1,0,2,0,3,6,1,7,2,5,2,6,1,0.2608695652173913,0.16666666666666666,0.30434782608695654,0.3333333333333333,0.21739130434782608,0.3333333333333333,0.5217391304347826,0.6666666666666666,0,0,6,1,0,0,0.391304347826087,0.2608695652173913,4,5,2,1,East,NE,0,0,NA,2,0,0,NA,1,0,NA,NA,2,0,NA,NA,1
012b5bdc-0a37-4b85-8b4a-69471febfac3,PRSE9541_B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,CB,CB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0138634b-f896-4f64-919f-39727692d96d,WIUB40,23,5,0,3,3,3,3,3,3,3,1,3,3,2,1,0,2,2,13,3,3,13,0,2,0,0,0,0,0,0,0,10,0,0,0,10,3,1,3,3,2,1,0,2,2,4,3,3,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1,12,3,0.5217391304347826,0.6,0,1,11,0,1,0,0,0,10,0,0,1,1,10,1,0.43478260869565216,0.2,0,0,0.043478260869565216,0.2,0.043478260869565216,0.2,0,0,0,0,0,0,0.43478260869565216,0.43478260869565216,4,4,1,1,GP,GP_U,1,NA,0,0,1,NA,0,0,1,NA,NA,0,1,NA,NA,0
