MetricType,MetricSubtype,Metric,West,GP,East,PNW,AW,WM,NGP,SGP,NE,SE,Comments
Geomorph,Geomorph,ActiveFloodplain_score,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Bio,Algae,AlgaeAbundance_NM,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
Bio,Algae,AlgaeAbundanceMossCover_Score2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Biology,Algae,AlgalCover_Live_NoUpstream,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Biology,Algae,AlgalCover_LiveOrDead_NoUpstream,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Geomorph,Geomorph,AlluvialDep_score,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Biology,Other,Amphib_abundance,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Biology,Other,Amphib_richness,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Bio,Other,Amphibian_presence,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Biology,Other,AmphSnake_PA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Geomorph,Geomorph,BankWidthMean,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Bio,BMI,Basommatophora_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Bio,BMI,BMI_presence,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Bio,BMI,BMI_score,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,
Geomorph,Geomorph,ChannelDimensions_score,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Bio,BMI,Coleoptera_abundance,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Bio,BMI,Coleoptera_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Geomorph,Geomorph,Continuity_score,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
Bio,BMI,Decapoda_abundance,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Bio,BMI,Decapoda_SumOfIndividuals,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Geomorph,Geomorph,Depositional_score,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,
